race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,9,リギーロ,https://db.netkeiba.com/horse/2022106624/,2022106624,牡,4,58.0,丹内,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,10,レイデラルース,https://db.netkeiba.com/horse/2021105475/,2021105475,牡,5,58.0,北村宏,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,11,レイヤードレッド,https://db.netkeiba.com/horse/2022103310/,2022103310,牡,4,58.0,長浜,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,1,アスクケンタッキー,https://db.netkeiba.com/horse/2023110100/,2023110100,牡,3,55.0,武豊,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,2,アンジュプロミス,https://db.netkeiba.com/horse/2023102577/,2023102577,牝,3,53.0,古川奈,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,3,ウィルオレオール,https://db.netkeiba.com/horse/2022109024/,2022109024,牡,4,58.0,石川倭,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,4,エヴァンスウィート,https://db.netkeiba.com/horse/2021105689/,2021105689,牝,5,56.0,吉田隼,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,5,クリエープキー,https://db.netkeiba.com/horse/2023103355/,2023103355,牝,3,53.0,吉田豊,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,6,ゴールドサーベル,https://db.netkeiba.com/horse/2021105039/,2021105039,牡,5,58.0,小沢,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,7,サウスバンク,https://db.netkeiba.com/horse/2022101443/,2022101443,牝,4,56.0,丹内,,
